date,country,category,rank,title
2025-01-13,world,TV,3,Despicable Me
2025-01-13,world,TV,4,Rush Hour
2025-01-13,world,TV,5,Due Date
2025-01-13,world,TV,6,Hotel Transylvania 2
2025-01-13,world,TV,7,The Age of Adaline
2025-01-13,world,TV,8,Rush Hour 2
2025-01-13,world,TV,9,Rush Hour 3
2025-01-13,world,TV,10,Horizon: An American Saga - Chapter 1
2025-01-14,world,TV,1,Ad Vitam
2025-01-14,world,TV,2,Despicable Me 2
2025-01-14,world,TV,3,Despicable Me
2025-01-14,world,TV,4,Rush Hour
2025-01-14,world,TV,5,Hotel Transylvania 2
2025-01-14,world,TV,6,The Age of Adaline
2025-01-14,world,TV,7,Rush Hour 2
2025-01-14,world,TV,8,Due Date
2025-01-14,world,TV,9,Rush Hour 3
2025-01-14,world,TV,10,The Secret Life of Pets
2025-01-15,world,TV,1,Ad Vitam
2025-01-15,world,TV,2,Despicable Me 2
2025-01-15,world,TV,3,Despicable Me
2025-01-15,world,TV,4,Rush Hour
2025-01-15,world,TV,5,Hotel Transylvania 2
2025-01-15,world,TV,6,The Age of Adaline
2025-01-15,world,TV,7,Rush Hour 2
2025-01-15,world,TV,8,The Secret Life of Pets
2025-01-15,world,TV,9,Rush Hour 3
2025-01-15,world,TV,10,Due Date
2025-01-16,world,TV,1,Ad Vitam
2025-01-16,world,TV,2,Despicable Me 2
2025-01-16,world,TV,3,Despicable Me
2025-01-16,world,TV,4,Rush Hour
2025-01-16,world,TV,5,Hotel Transylvania 2
2025-01-16,world,TV,6,Hereditary
2025-01-16,world,TV,7,Rush Hour 2
2025-01-16,world,TV,8,The Age of Adaline
2025-01-16,world,TV,9,The Secret Life of Pets
2025-01-16,world,TV,10,Rush Hour 3
2025-01-17,world,TV,1,Ad Vitam
2025-01-17,world,TV,2,Despicable Me 2
2025-01-17,world,TV,3,Despicable Me
2025-01-17,world,TV,4,The Unbearable Weight of Massive Talent
2025-01-17,world,TV,5,Rush Hour
2025-01-17,world,TV,6,Hotel Transylvania 2
2025-01-17,world,TV,7,The Secret Life of Pets
2025-01-17,world,TV,8,Hereditary
2025-01-17,world,TV,9,Rush Hour 2
2025-01-17,world,TV,10,The Age of Adaline
2025-01-18,world,TV,1,Back in Action
2025-01-18,world,TV,2,Ad Vitam
2025-01-18,world,TV,3,Despicable Me 2
2025-01-18,world,TV,4,Despicable Me
2025-01-18,world,TV,5,The Unbearable Weight of Massive Talent
2025-01-18,world,TV,6,Hotel Transylvania 2
2025-01-18,world,TV,7,Rush Hour
2025-01-18,world,TV,8,Hereditary
2025-01-18,world,TV,9,The Secret Life of Pets
2025-01-18,world,TV,10,The Boss Baby
2025-01-19,world,TV,1,Back in Action
2025-01-19,world,TV,2,Ad Vitam
2025-01-19,world,TV,3,Despicable Me 2
2025-01-19,world,TV,4,Despicable Me
2025-01-19,world,TV,5,Hotel Transylvania 2
2025-01-19,world,TV,6,The Unbearable Weight of Massive Talent
2025-01-19,world,TV,7,Hereditary
2025-01-19,world,TV,8,Rush Hour
2025-01-19,world,TV,9,The Secret Life of Pets
2025-01-19,world,TV,10,The Boss Baby
2025-01-20,world,TV,1,Back in Action
2025-01-20,world,TV,2,Ad Vitam
2025-01-20,world,TV,3,Despicable Me 2
2025-01-20,world,TV,4,Despicable Me
2025-01-20,world,TV,5,The Unbearable Weight of Massive Talent
2025-01-20,world,TV,6,Hotel Transylvania 2
2025-01-20,world,TV,7,Hereditary
2025-01-20,world,TV,8,Rush Hour
2025-01-20,world,TV,9,The Secret Life of Pets
2025-01-20,world,TV,10,The Boss Baby
2025-01-21,world,TV,1,Back in Action
2025-01-21,world,TV,2,Despicable Me 2
2025-01-21,world,TV,3,Despicable Me
2025-01-21,world,TV,4,Ad Vitam
2025-01-21,world,TV,5,Hotel Transylvania 2
2025-01-21,world,TV,6,The Secret Life of Pets
2025-01-21,world,TV,7,The Unbearable Weight of Massive Talent
2025-01-21,world,TV,8,Hereditary
2025-01-21,world,TV,9,Trolls Band Together
2025-01-21,world,TV,10,Rush Hour
2025-01-22,world,TV,1,Back in Action
2025-01-22,world,TV,2,You Gotta Believe
2025-01-22,world,TV,3,Despicable Me 2
2025-01-22,world,TV,4,Despicable Me
2025-01-22,world,TV,5,Ad Vitam
2025-01-22,world,TV,6,Hotel Transylvania 2
2025-01-22,world,TV,7,The Secret Life of Pets
2025-01-22,world,TV,8,The Unbearable Weight of Massive Talent
2025-01-22,world,TV,9,Trolls Band Together
2025-01-22,world,TV,10,The Boss Baby
2025-01-23,world,TV,1,Back in Action
2025-01-23,world,TV,2,You Gotta Believe
2025-01-23,world,TV,3,Despicable Me 2
2025-01-23,world,TV,4,Despicable Me
2025-01-23,world,TV,5,Hotel Transylvania 2
2025-01-23,world,TV,6,The Secret Life of Pets
2025-01-23,world,TV,7,Ad Vitam
2025-01-23,world,TV,8,The Boss Baby
2025-01-23,world,TV,9,The Unbearable Weight of Massive Talent
2025-01-23,world,TV,10,Trolls Band Together
2025-01-24,world,TV,1,Back in Action
