date,country,category,rank,title
2025-03-04,world,TV,5,Sonic the Hedgehog 2
2025-03-04,world,TV,6,Midnight in the Switchgrass
2025-03-04,world,TV,7,Runaway Jury
2025-03-04,world,TV,8,Dungeons & Dragons: Honor Among Thieves
2025-03-04,world,TV,9,Squad 36
2025-03-04,world,TV,10,Demon City
2025-03-05,world,TV,1,Despicable Me 4
2025-03-05,world,TV,2,Counterattack
2025-03-05,world,TV,3,Sicario
2025-03-05,world,TV,4,Venom: The Last Dance
2025-03-05,world,TV,5,Sonic the Hedgehog 2
2025-03-05,world,TV,6,Midnight in the Switchgrass
2025-03-05,world,TV,7,Runaway Jury
2025-03-05,world,TV,8,Dungeons & Dragons: Honor Among Thieves
2025-03-05,world,TV,9,Squad 36
2025-03-05,world,TV,10,Demon City
2025-03-06,world,TV,1,Despicable Me 4
2025-03-06,world,TV,2,Sicario
2025-03-06,world,TV,3,Counterattack
2025-03-06,world,TV,4,Midnight in the Switchgrass
2025-03-06,world,TV,5,Sonic the Hedgehog 2
2025-03-06,world,TV,6,Venom: The Last Dance
2025-03-06,world,TV,7,Runaway Jury
2025-03-06,world,TV,8,Dungeons & Dragons: Honor Among Thieves
2025-03-06,world,TV,9,Squad 36
2025-03-06,world,TV,10,Demon City
2025-03-07,world,TV,1,Despicable Me 4
2025-03-07,world,TV,2,Sicario
2025-03-07,world,TV,3,Midnight in the Switchgrass
2025-03-07,world,TV,4,Sonic the Hedgehog 2
2025-03-07,world,TV,5,Counterattack
2025-03-07,world,TV,6,Power Rangers
2025-03-07,world,TV,7,Venom: The Last Dance
2025-03-07,world,TV,8,Runaway Jury
2025-03-07,world,TV,9,Dungeons & Dragons: Honor Among Thieves
2025-03-07,world,TV,10,Friday
2025-03-08,world,TV,1,Plankton: The Movie
2025-03-08,world,TV,2,Despicable Me 4
2025-03-08,world,TV,3,CHAOS: The Manson Murders
2025-03-08,world,TV,4,Midnight in the Switchgrass
2025-03-08,world,TV,5,Sicario
2025-03-08,world,TV,6,Sonic the Hedgehog 2
2025-03-08,world,TV,7,Counterattack
2025-03-08,world,TV,8,Venom: The Last Dance
2025-03-08,world,TV,9,Friday
2025-03-08,world,TV,10,Runaway Jury
2025-03-09,world,TV,1,Plankton: The Movie
2025-03-09,world,TV,2,Despicable Me 4
2025-03-09,world,TV,3,CHAOS: The Manson Murders
2025-03-09,world,TV,4,Midnight in the Switchgrass
2025-03-09,world,TV,5,Sicario
2025-03-09,world,TV,6,Sonic the Hedgehog 2
2025-03-09,world,TV,7,Venom: The Last Dance
2025-03-09,world,TV,8,Friday
2025-03-09,world,TV,9,Counterattack
2025-03-09,world,TV,10,Runaway Jury
2025-03-10,world,TV,1,Plankton: The Movie
2025-03-10,world,TV,2,Despicable Me 4
2025-03-10,world,TV,3,CHAOS: The Manson Murders
2025-03-10,world,TV,4,Midnight in the Switchgrass
2025-03-10,world,TV,5,Sicario
2025-03-10,world,TV,6,Friday
2025-03-10,world,TV,7,Sonic the Hedgehog 2
2025-03-10,world,TV,8,Counterattack
2025-03-10,world,TV,9,Venom: The Last Dance
2025-03-10,world,TV,10,Next Friday
2025-03-11,world,TV,1,Despicable Me 4
2025-03-11,world,TV,2,Plankton: The Movie
2025-03-11,world,TV,3,Midnight in the Switchgrass
2025-03-11,world,TV,4,CHAOS: The Manson Murders
2025-03-11,world,TV,5,Friday
2025-03-11,world,TV,6,Next Friday
2025-03-11,world,TV,7,Sonic the Hedgehog 2
2025-03-11,world,TV,8,Sicario
2025-03-11,world,TV,9,Venom: The Last Dance
2025-03-11,world,TV,10,Counterattack
2025-03-12,world,TV,1,Despicable Me 4
2025-03-12,world,TV,2,Trap
2025-03-12,world,TV,3,Plankton: The Movie
2025-03-12,world,TV,4,Midnight in the Switchgrass
2025-03-12,world,TV,5,Friday
2025-03-12,world,TV,6,CHAOS: The Manson Murders
2025-03-12,world,TV,7,Next Friday
2025-03-12,world,TV,8,Sonic the Hedgehog 2
2025-03-12,world,TV,9,Sicario
2025-03-12,world,TV,10,Venom: The Last Dance
2025-03-13,world,TV,1,Trap
2025-03-13,world,TV,2,Despicable Me 4
2025-03-13,world,TV,3,Plankton: The Movie
2025-03-13,world,TV,4,Friday
2025-03-13,world,TV,5,Midnight in the Switchgrass
2025-03-13,world,TV,6,CHAOS: The Manson Murders
2025-03-13,world,TV,7,Next Friday
2025-03-13,world,TV,8,Sonic the Hedgehog 2
2025-03-13,world,TV,9,Sicario
2025-03-13,world,TV,10,Venom: The Last Dance
2025-03-14,world,TV,1,Kraven the Hunter
2025-03-14,world,TV,2,Trap
2025-03-14,world,TV,3,Despicable Me 4
2025-03-14,world,TV,4,Plankton: The Movie
2025-03-14,world,TV,5,Friday
2025-03-14,world,TV,6,Midnight in the Switchgrass
2025-03-14,world,TV,7,Sonic the Hedgehog 2
2025-03-14,world,TV,8,Next Friday
2025-03-14,world,TV,9,Sicario
2025-03-14,world,TV,10,Venom: The Last Dance
2025-03-15,world,TV,1,The Electric State
2025-03-15,world,TV,2,Kraven the Hunter
2025-03-15,world,TV,3,Trap
2025-03-15,world,TV,4,Despicable Me 4
2025-03-15,world,TV,5,Plankton: The Movie
2025-03-15,world,TV,6,Friday
2025-03-15,world,TV,7,Sonic the Hedgehog 2
2025-03-15,world,TV,8,Midnight in the Switchgrass
2025-03-15,world,TV,9,Venom: The Last Dance
2025-03-15,world,TV,10,Next Friday
2025-03-16,world,TV,1,The Electric State
2025-03-16,world,TV,2,Kraven the Hunter
2025-03-16,world,TV,3,Trap
2025-03-16,world,TV,4,Despicable Me 4
2025-03-16,world,TV,5,Plankton: The Movie
2025-03-16,world,TV,6,Midnight in the Switchgrass
2025-03-16,world,TV,7,Sonic the Hedgehog 2
2025-03-16,world,TV,8,Friday
2025-03-16,world,TV,9,Venom: The Last Dance
2025-03-16,world,TV,10,Next Friday
2025-03-17,world,TV,1,The Electric State
2025-03-17,world,TV,2,Kraven the Hunter
2025-03-17,world,TV,3,Trap
2025-03-17,world,TV,4,Despicable Me 4
2025-03-17,world,TV,5,Plankton: The Movie
2025-03-17,world,TV,6,Everest
2025-03-17,world,TV,7,Midnight in the Switchgrass
2025-03-17,world,TV,8,Sonic the Hedgehog 2
2025-03-17,world,TV,9,Venom: The Last Dance
2025-03-17,world,TV,10,Friday
2025-03-18,world,TV,1,The Electric State
2025-03-18,world,TV,2,Kraven the Hunter
2025-03-18,world,TV,3,Trap
2025-03-18,world,TV,4,Despicable Me 4
2025-03-18,world,TV,5,Plankton: The Movie
2025-03-18,world,TV,6,Everest
2025-03-18,world,TV,7,Sonic the Hedgehog 2
2025-03-18,world,TV,8,Friday
2025-03-18,world,TV,9,Venom: The Last Dance
2025-03-18,world,TV,10,Midnight in the Switchgrass
2025-03-19,world,TV,1,The Electric State
2025-03-19,world,TV,2,Kraven the Hunter
2025-03-19,world,TV,3,Trap
2025-03-19,world,TV,4,Despicable Me 4
2025-03-19,world,TV,5,Plankton: The Movie
2025-03-19,world,TV,6,Everest
2025-03-19,world,TV,7,Sonic the Hedgehog 2
2025-03-19,world,TV,8,Friday
2025-03-19,world,TV,9,Midnight in the Switchgrass
2025-03-19,world,TV,10,Venom: The Last Dance
2025-03-20,world,TV,1,The Twister: Caught in the Storm
2025-03-20,world,TV,2,Kraven the Hunter
2025-03-20,world,TV,3,The Electric State
2025-03-20,world,TV,4,Despicable Me 4
2025-03-20,world,TV,5,Trap
2025-03-20,world,TV,6,Plankton: The Movie
2025-03-20,world,TV,7,Everest
2025-03-20,world,TV,8,Sonic the Hedgehog 2
2025-03-20,world,TV,9,Friday
2025-03-20,world,TV,10,The Secret Life of Pets
2025-03-21,world,TV,1,Den of Thieves 2: Pantera
2025-03-21,world,TV,2,The Twister: Caught in the Storm
2025-03-21,world,TV,3,Kraven the Hunter
2025-03-21,world,TV,4,Despicable Me 4
2025-03-21,world,TV,5,The Electric State
2025-03-21,world,TV,6,Trap
2025-03-21,world,TV,7,Plankton: The Movie
2025-03-21,world,TV,8,Sonic the Hedgehog 2
2025-03-21,world,TV,9,Everest
2025-03-21,world,TV,10,The Secret Life of Pets
2025-03-22,world,TV,1,Den of Thieves 2: Pantera
2025-03-22,world,TV,2,The Twister: Caught in the Storm
2025-03-22,world,TV,3,Despicable Me 4
2025-03-22,world,TV,4,Kraven the Hunter
2025-03-22,world,TV,5,The Electric State
2025-03-22,world,TV,6,Trap
2025-03-22,world,TV,7,Plankton: The Movie
2025-03-22,world,TV,8,Sonic the Hedgehog 2
2025-03-22,world,TV,9,Everest
2025-03-22,world,TV,10,The Secret Life of Pets
2025-03-23,world,TV,1,Den of Thieves 2: Pantera
2025-03-23,world,TV,2,The Twister: Caught in the Storm
2025-03-23,world,TV,3,Kraven the Hunter
2025-03-23,world,TV,4,Despicable Me 4
2025-03-23,world,TV,5,Trap
2025-03-23,world,TV,6,The Electric State
2025-03-23,world,TV,7,Plankton: The Movie
2025-03-23,world,TV,8,Everest
2025-03-23,world,TV,9,Sonic the Hedgehog 2
2025-03-23,world,TV,10,The Secret Life of Pets
2025-03-24,world,TV,1,Den of Thieves 2: Pantera
2025-03-24,world,TV,2,The Twister: Caught in the Storm
2025-03-24,world,TV,3,Kraven the Hunter
2025-03-24,world,TV,4,Despicable Me 4
2025-03-24,world,TV,5,Trap
2025-03-24,world,TV,6,The Electric State
2025-03-24,world,TV,7,Everest
2025-03-24,world,TV,8,Plankton: The Movie
2025-03-24,world,TV,9,Sonic the Hedgehog 2
2025-03-24,world,TV,10,The Secret Life of Pets
2025-03-25,world,TV,1,Den of Thieves 2: Pantera
2025-03-25,world,TV,2,The Twister: Caught in the Storm
2025-03-25,world,TV,3,Despicable Me 4
2025-03-25,world,TV,4,Kraven the Hunter
2025-03-25,world,TV,5,Trap
2025-03-25,world,TV,6,The Electric State
2025-03-25,world,TV,7,Plankton: The Movie
2025-03-25,world,TV,8,Sonic the Hedgehog 2
2025-03-25,world,TV,9,The Secret Life of Pets
2025-03-25,world,TV,10,Everest
2025-03-26,world,TV,1,Den of Thieves 2: Pantera
2025-03-26,world,TV,2,The Twister: Caught in the Storm
2025-03-26,world,TV,3,Despicable Me 4
2025-03-26,world,TV,4,Kraven the Hunter
2025-03-26,world,TV,5,Trap
2025-03-26,world,TV,6,The Electric State
2025-03-26,world,TV,7,Con Mum
2025-03-26,world,TV,8,Plankton: The Movie
2025-03-26,world,TV,9,The Secret Life of Pets
2025-03-26,world,TV,10,Sonic the Hedgehog 2
2025-03-27,world,TV,1,Den of Thieves 2: Pantera
2025-03-27,world,TV,2,Despicable Me 4
2025-03-27,world,TV,3,The Twister: Caught in the Storm
2025-03-27,world,TV,4,Kraven the Hunter
2025-03-27,world,TV,5,Trap
2025-03-27,world,TV,6,The Electric State
2025-03-27,world,TV,7,Con Mum
2025-03-27,world,TV,8,The Secret Life of Pets
2025-03-27,world,TV,9,Plankton: The Movie
2025-03-27,world,TV,10,Sonic the Hedgehog 2
2025-03-28,world,TV,1,Den of Thieves 2: Pantera
2025-03-28,world,TV,2,Despicable Me 4
2025-03-28,world,TV,3,The Twister: Caught in the Storm
2025-03-28,world,TV,4,Kraven the Hunter
2025-03-28,world,TV,5,Trap
2025-03-28,world,TV,6,Con Mum
2025-03-28,world,TV,7,The Electric State
2025-03-28,world,TV,8,The Secret Life of Pets
2025-03-28,world,TV,9,Plankton: The Movie
2025-03-28,world,TV,10,Sonic the Hedgehog 2
2025-03-29,world,TV,1,The Life List
2025-03-29,world,TV,2,Den of Thieves 2: Pantera
2025-03-29,world,TV,3,Despicable Me 4
2025-03-29,world,TV,4,Talk to Me
2025-03-29,world,TV,5,The Twister: Caught in the Storm
2025-03-29,world,TV,6,Kraven the Hunter
2025-03-29,world,TV,7,Trap
2025-03-29,world,TV,8,Con Mum
2025-03-29,world,TV,9,The Electric State
2025-03-29,world,TV,10,The Secret Life of Pets
2025-03-30,world,TV,1,The Life List
2025-03-30,world,TV,2,Den of Thieves 2: Pantera
2025-03-30,world,TV,3,Talk to Me
2025-03-30,world,TV,4,Despicable Me 4
2025-03-30,world,TV,5,Con Mum
2025-03-30,world,TV,6,Kraven the Hunter
2025-03-30,world,TV,7,The Twister: Caught in the Storm
2025-03-30,world,TV,8,Trap
2025-03-30,world,TV,9,The Electric State
2025-03-30,world,TV,10,The Secret Life of Pets
2025-03-31,world,TV,1,The Life List
2025-03-31,world,TV,2,Den of Thieves 2: Pantera
2025-03-31,world,TV,3,Talk to Me
2025-03-31,world,TV,4,Despicable Me 4
2025-03-31,world,TV,5,Con Mum
2025-03-31,world,TV,6,Kraven the Hunter
2025-03-31,world,TV,7,The Twister: Caught in the Storm
2025-03-31,world,TV,8,Trap
2025-03-31,world,TV,9,The Electric State
2025-03-31,world,TV,10,The Secret Life of Pets
2025-04-01,world,TV,1,The Life List
2025-04-01,world,TV,2,One of Them Days
2025-04-01,world,TV,3,Despicable Me 4
2025-04-01,world,TV,4,Den of Thieves 2: Pantera
2025-04-01,world,TV,5,Talk to Me
2025-04-01,world,TV,6,Con Mum
2025-04-01,world,TV,7,Kraven the Hunter
2025-04-01,world,TV,8,The Secret Life of Pets
2025-04-01,world,TV,9,The Twister: Caught in the Storm
2025-04-01,world,TV,10,The Electric State
2025-04-02,world,TV,1,The Life List
2025-04-02,world,TV,2,One of Them Days
2025-04-02,world,TV,3,Sicario: Day of the Soldado
2025-04-02,world,TV,4,Geostorm
2025-04-02,world,TV,5,Despicable Me 4
2025-04-02,world,TV,6,Alpha
2025-04-02,world,TV,7,Jack the Giant Slayer
2025-04-02,world,TV,8,Den of Thieves 2: Pantera
2025-04-02,world,TV,9,Draft Day
2025-04-02,world,TV,10,Talk to Me
2025-04-03,world,TV,1,The Life List
2025-04-03,world,TV,2,One of Them Days
2025-04-03,world,TV,3,Geostorm
2025-04-03,world,TV,4,Alpha
2025-04-03,world,TV,5,Sicario: Day of the Soldado
2025-04-03,world,TV,6,Jack the Giant Slayer
2025-04-03,world,TV,7,Despicable Me 4
2025-04-03,world,TV,8,Den of Thieves 2: Pantera
2025-04-03,world,TV,9,Draft Day
2025-04-03,world,TV,10,Talk to Me
2025-04-04,world,TV,1,One of Them Days
2025-04-04,world,TV,2,The Life List
2025-04-04,world,TV,3,Geostorm
2025-04-04,world,TV,4,Alpha
2025-04-04,world,TV,5,Sicario: Day of the Soldado
2025-04-04,world,TV,6,Despicable Me 4
2025-04-04,world,TV,7,Jack the Giant Slayer
2025-04-04,world,TV,8,Draft Day
2025-04-04,world,TV,9,Den of Thieves 2: Pantera
2025-04-04,world,TV,10,The Croods
2025-04-05,world,TV,1,One of Them Days
2025-04-05,world,TV,2,The Life List
2025-04-05,world,TV,3,Geostorm
2025-04-05,world,TV,4,Alpha
2025-04-05,world,TV,6,Sicario: Day of the Soldado
2025-04-05,world,TV,5,Despicable Me 4
2025-04-05,world,TV,7,Jack the Giant Slayer
2025-04-05,world,TV,10,Draft Day
2025-04-05,world,TV,9,Den of Thieves 2: Pantera
2025-04-05,world,TV,8,The Croods
2025-04-06,world,TV,1,One of Them Days
2025-04-06,world,TV,2,The Life List
2025-04-06,world,TV,3,Geostorm
2025-04-06,world,TV,4,Alpha
2025-04-06,world,TV,5,Despicable Me 4
2025-04-06,world,TV,6,The Croods
2025-04-06,world,TV,7,Jack the Giant Slayer
2025-04-06,world,TV,8,Sicario: Day of the Soldado
2025-04-06,world,TV,9,Den of Thieves 2: Pantera
2025-04-06,world,TV,10,Draft Day
2025-04-07,world,TV,1,One of Them Days
2025-04-07,world,TV,2,The Life List
2025-04-07,world,TV,3,Geostorm
2025-04-07,world,TV,4,Alpha
2025-04-07,world,TV,5,The Croods
2025-04-07,world,TV,6,Despicable Me 4
2025-04-07,world,TV,7,Jack the Giant Slayer
2025-04-07,world,TV,8,Den of Thieves 2: Pantera
2025-04-07,world,TV,9,Sicario: Day of the Soldado
2025-04-07,world,TV,10,Draft Day
2025-04-08,world,TV,1,One of Them Days
2025-04-08,world,TV,2,The Life List
2025-04-08,world,TV,3,Geostorm
2025-04-08,world,TV,4,The Croods
2025-04-08,world,TV,5,Alpha
2025-04-08,world,TV,6,Despicable Me 4
2025-04-08,world,TV,7,Lucy
2025-04-08,world,TV,8,The Dark Knight
2025-04-08,world,TV,9,Den of Thieves 2: Pantera
2025-04-08,world,TV,10,Jack the Giant Slayer
2025-04-09,world,TV,1,One of Them Days
2025-04-09,world,TV,2,The Life List
2025-04-09,world,TV,3,Geostorm
2025-04-09,world,TV,4,Lucy
2025-04-09,world,TV,5,The Croods
2025-04-09,world,TV,6,Alpha
2025-04-09,world,TV,7,Despicable Me 4
2025-04-09,world,TV,8,The Dark Knight
2025-04-09,world,TV,9,I Now Pronounce You Chuck & Larry
2025-04-09,world,TV,10,Den of Thieves
2025-04-10,world,TV,1,One of Them Days
2025-04-10,world,TV,2,The Life List
2025-04-10,world,TV,3,The Croods
2025-04-10,world,TV,4,Lucy
2025-04-10,world,TV,5,The Hating Game
2025-04-10,world,TV,6,Geostorm
2025-04-10,world,TV,7,Despicable Me 4
2025-04-10,world,TV,8,The Dark Knight
2025-04-10,world,TV,9,I Now Pronounce You Chuck & Larry
2025-04-10,world,TV,10,The Dad Quest
2025-04-11,world,TV,1,The Croods
2025-04-11,world,TV,2,One of Them Days
2025-04-11,world,TV,3,The Life List
2025-04-11,world,TV,4,Lucy
2025-04-11,world,TV,5,The Hating Game
2025-04-11,world,TV,6,Despicable Me 4
2025-04-11,world,TV,7,The Dark Knight
2025-04-11,world,TV,8,Geostorm
2025-04-11,world,TV,9,The Dad Quest
2025-04-11,world,TV,10,Matilda
2025-04-12,world,TV,1,The Croods
2025-04-12,world,TV,2,The Life List
2025-04-12,world,TV,3,Despicable Me 4
2025-04-12,world,TV,4,One of Them Days
2025-04-12,world,TV,5,Lucy
2025-04-12,world,TV,6,The Hating Game
2025-04-12,world,TV,7,The Dad Quest
2025-04-12,world,TV,8,Matilda
2025-04-12,world,TV,9,The Dark Knight
2025-04-12,world,TV,10,Geostorm
2025-04-13,world,TV,1,The Croods
2025-04-13,world,TV,2,The Life List
2025-04-13,world,TV,3,Despicable Me 4
2025-04-13,world,TV,4,The Dad Quest
2025-04-13,world,TV,5,The Hating Game
2025-04-13,world,TV,6,Lucy
2025-04-13,world,TV,7,One of Them Days
2025-04-13,world,TV,8,Meet the Khumalos
2025-04-13,world,TV,9,Matilda
2025-04-13,world,TV,10,The Dark Knight
2025-04-14,world,TV,1,The Croods
2025-04-14,world,TV,2,The Dad Quest
2025-04-14,world,TV,3,The Life List
2025-04-14,world,TV,4,Despicable Me 4
2025-04-14,world,TV,5,Lucy
2025-04-14,world,TV,6,Life or Something Like It
2025-04-14,world,TV,7,The Hating Game
2025-04-14,world,TV,8,99 Homes
2025-04-14,world,TV,9,One of Them Days
2025-04-14,world,TV,10,Meet the Khumalos
2025-04-15,world,TV,1,Life or Something Like It
2025-04-15,world,TV,2,The Croods
2025-04-15,world,TV,3,Despicable Me 4
2025-04-15,world,TV,4,The Dad Quest
2025-04-15,world,TV,5,The Life List
2025-04-15,world,TV,6,The Hating Game
2025-04-15,world,TV,7,Lucy
2025-04-15,world,TV,8,99 Homes
2025-04-15,world,TV,9,One of Them Days
2025-04-15,world,TV,10,Meet the Khumalos
2025-04-16,world,TV,1,Life or Something Like It
2025-04-16,world,TV,2,Despicable Me 4
2025-04-16,world,TV,3,The Croods
2025-04-16,world,TV,4,The Life List
2025-04-16,world,TV,5,The Hating Game
2025-04-16,world,TV,6,Lucy
2025-04-16,world,TV,7,The Dad Quest
2025-04-16,world,TV,8,One of Them Days
2025-04-16,world,TV,9,Sing
2025-04-16,world,TV,10,Meet the Khumalos
2025-04-17,world,TV,1,Life or Something Like It
2025-04-17,world,TV,2,Despicable Me 4
2025-04-17,world,TV,3,The Croods
2025-04-17,world,TV,4,The Life List
2025-04-17,world,TV,5,The Hating Game
2025-04-17,world,TV,6,Lucy
2025-04-17,world,TV,7,Sing
2025-04-17,world,TV,8,One of Them Days
2025-04-17,world,TV,9,The Boss Baby
2025-04-17,world,TV,10,The Dad Quest
2025-04-18,world,TV,1,Despicable Me 4
2025-04-18,world,TV,2,Life or Something Like It
2025-04-18,world,TV,3,The Croods
2025-04-18,world,TV,4,The Life List
2025-04-18,world,TV,5,Sing
2025-04-18,world,TV,6,One of Them Days
2025-04-18,world,TV,7,The Boss Baby
2025-04-18,world,TV,8,Lucy
2025-04-18,world,TV,9,The Secret Life of Pets
2025-04-18,world,TV,10,Trolls Band Together
2025-04-19,world,TV,1,Oklahoma City Bombing: American Terror
2025-04-19,world,TV,2,iHostage
2025-04-19,world,TV,3,Despicable Me 4
2025-04-19,world,TV,4,Life or Something Like It
2025-04-19,world,TV,5,The Passion of the Christ
2025-04-19,world,TV,6,The Croods
2025-04-19,world,TV,7,The Life List
2025-04-19,world,TV,8,One of Them Days
2025-04-19,world,TV,9,Sing
2025-04-19,world,TV,10,Lucy
2025-04-20,world,TV,1,iHostage
2025-04-20,world,TV,2,Oklahoma City Bombing: American Terror
2025-04-20,world,TV,3,Despicable Me 4
2025-04-20,world,TV,4,Life or Something Like It
2025-04-20,world,TV,5,The Passion of the Christ
2025-04-20,world,TV,6,The Life List
2025-04-20,world,TV,7,The Croods
2025-04-20,world,TV,8,One of Them Days
2025-04-20,world,TV,9,Lucy
2025-04-20,world,TV,10,The Room Next Door
2025-04-21,world,TV,1,iHostage
2025-04-21,world,TV,2,Oklahoma City Bombing: American Terror
2025-04-21,world,TV,3,Despicable Me 4
2025-04-21,world,TV,4,The Passion of the Christ
2025-04-21,world,TV,5,Life or Something Like It
2025-04-21,world,TV,6,The Life List
2025-04-21,world,TV,7,Peter Rabbit
2025-04-21,world,TV,8,The Croods
2025-04-21,world,TV,9,My Hero Academia: You're Next
2025-04-21,world,TV,10,One of Them Days
2025-04-22,world,TV,1,American Sniper
2025-04-22,world,TV,2,iHostage
2025-04-22,world,TV,3,Oklahoma City Bombing: American Terror
2025-04-22,world,TV,4,Despicable Me 4
2025-04-22,world,TV,5,The Life List
2025-04-22,world,TV,6,The Croods
2025-04-22,world,TV,7,Pangolin: Kulu's Journey
2025-04-22,world,TV,8,My Hero Academia: You're Next
2025-04-22,world,TV,9,Life or Something Like It
2025-04-22,world,TV,10,The Secret Life of Pets
2025-04-23,world,TV,1,iHostage
2025-04-23,world,TV,2,American Sniper
2025-04-23,world,TV,3,Oklahoma City Bombing: American Terror
2025-04-23,world,TV,4,Despicable Me 4
2025-04-23,world,TV,5,The Life List
2025-04-23,world,TV,6,Pangolin: Kulu's Journey
2025-04-23,world,TV,7,The Croods
2025-04-23,world,TV,8,The Secret Life of Pets
2025-04-23,world,TV,9,Sing
2025-04-23,world,TV,10,The Boss Baby
2025-04-24,world,TV,1,iHostage
2025-04-24,world,TV,2,American Sniper
2025-04-24,world,TV,3,Oklahoma City Bombing: American Terror
2025-04-24,world,TV,4,Despicable Me 4
2025-04-24,world,TV,5,UnBroken
2025-04-24,world,TV,6,Bullet Train Explosion
2025-04-24,world,TV,7,The Life List
2025-04-24,world,TV,8,The Croods
2025-04-24,world,TV,9,Pangolin: Kulu's Journey
2025-04-24,world,TV,10,The Secret Life of Pets
2025-04-25,world,TV,1,Murder at Yellowstone City
2025-04-25,world,TV,2,iHostage
2025-04-25,world,TV,3,A Dog's Way Home
2025-04-25,world,TV,4,American Sniper
2025-04-25,world,TV,5,Despicable Me 4
2025-04-25,world,TV,6,Oklahoma City Bombing: American Terror
2025-04-25,world,TV,7,Bullet Train Explosion
2025-04-25,world,TV,8,The Life List
2025-04-25,world,TV,9,The Croods
2025-04-25,world,TV,10,The Secret Life of Pets
2025-04-26,world,TV,1,Havoc
2025-04-26,world,TV,2,A Dog's Way Home
2025-04-26,world,TV,3,Murder at Yellowstone City
2025-04-26,world,TV,4,iHostage
2025-04-26,world,TV,5,American Sniper
2025-04-26,world,TV,6,Despicable Me 4
2025-04-26,world,TV,7,Oklahoma City Bombing: American Terror
2025-04-26,world,TV,8,Bullet Train Explosion
2025-04-26,world,TV,9,The Life List
2025-04-26,world,TV,10,Jewel Thief - The Heist Begins
2025-04-27,world,TV,1,Havoc
2025-04-27,world,TV,2,A Dog's Way Home
2025-04-27,world,TV,3,iHostage
2025-04-27,world,TV,4,Murder at Yellowstone City
2025-04-27,world,TV,5,Despicable Me 4
2025-04-27,world,TV,6,American Sniper
2025-04-27,world,TV,7,Bullet Train Explosion
2025-04-27,world,TV,8,Jewel Thief - The Heist Begins
2025-04-27,world,TV,9,Oklahoma City Bombing: American Terror
2025-04-27,world,TV,10,The Life List
2025-04-28,world,TV,1,Havoc
2025-04-28,world,TV,2,A Dog's Way Home
2025-04-28,world,TV,3,iHostage
2025-04-28,world,TV,4,Murder at Yellowstone City
2025-04-28,world,TV,5,American Sniper
2025-04-28,world,TV,6,Despicable Me 4
2025-04-28,world,TV,7,Bullet Train Explosion
2025-04-28,world,TV,8,Jewel Thief - The Heist Begins
2025-04-28,world,TV,9,Oklahoma City Bombing: American Terror
2025-04-28,world,TV,10,The Life List
2025-04-29,world,TV,1,Havoc
2025-04-29,world,TV,2,A Dog's Way Home
2025-04-29,world,TV,3,Despicable Me 4
2025-04-29,world,TV,4,American Sniper
2025-04-29,world,TV,5,iHostage
2025-04-29,world,TV,6,Murder at Yellowstone City
2025-04-29,world,TV,7,Bullet Train Explosion
2025-04-29,world,TV,8,Oklahoma City Bombing: American Terror
2025-04-29,world,TV,9,Jewel Thief - The Heist Begins
2025-04-29,world,TV,10,The Secret Life of Pets
2025-04-30,world,TV,1,Havoc
2025-04-30,world,TV,2,A Dog's Way Home
2025-04-30,world,TV,3,Despicable Me 4
2025-04-30,world,TV,4,Bullet Train Explosion
2025-04-30,world,TV,5,American Sniper
2025-04-30,world,TV,6,iHostage
2025-04-30,world,TV,7,Murder at Yellowstone City
2025-04-30,world,TV,8,Jewel Thief - The Heist Begins
2025-04-30,world,TV,9,The Secret Life of Pets
2025-04-30,world,TV,10,The Boss Baby
2025-05-01,world,TV,1,Exterritorial
2025-05-01,world,TV,2,Havoc
2025-05-01,world,TV,3,Despicable Me 4
2025-05-01,world,TV,4,A Dog's Way Home
2025-05-01,world,TV,5,American Sniper
2025-05-01,world,TV,6,The Secret Life of Pets
2025-05-01,world,TV,7,Bullet Train Explosion
2025-05-01,world,TV,8,The Boss Baby
2025-05-01,world,TV,9,Sing
2025-05-01,world,TV,10,Trolls Band Together
2025-05-02,world,TV,1,Exterritorial
2025-05-02,world,TV,2,The Equalizer 2
2025-05-02,world,TV,3,Havoc
2025-05-02,world,TV,4,Paul
2025-05-02,world,TV,5,Despicable Me 4
2025-05-02,world,TV,6,The Biggest Fan
2025-05-02,world,TV,7,A Dog's Way Home
2025-05-02,world,TV,8,Sisters
2025-05-02,world,TV,9,Mid90s
2025-05-02,world,TV,10,The Secret Life of Pets
2025-05-03,world,TV,1,Exterritorial
2025-05-03,world,TV,2,Havoc
2025-05-03,world,TV,3,The Equalizer 2
2025-05-03,world,TV,4,Paul
2025-05-03,world,TV,5,Despicable Me 4
2025-05-03,world,TV,6,Sisters
2025-05-03,world,TV,7,The Biggest Fan
2025-05-03,world,TV,8,Twilight
2025-05-03,world,TV,9,Home
2025-05-03,world,TV,10,A Dog's Way Home
2025-05-04,world,TV,1,Exterritorial
2025-05-04,world,TV,2,Havoc
2025-05-04,world,TV,3,The Equalizer 2
2025-05-04,world,TV,4,Paul
2025-05-04,world,TV,5,Twilight
2025-05-04,world,TV,6,Sisters
2025-05-04,world,TV,7,Despicable Me 4
2025-05-04,world,TV,8,Home
2025-05-04,world,TV,9,A Dog's Way Home
2025-05-04,world,TV,10,The Biggest Fan
2025-05-05,world,TV,1,Exterritorial
2025-05-05,world,TV,2,Havoc
